category,description,html,ierarch,is_available,name,price,region
,"Ce manteau en drap de cachemire noir se distingue par son élégant col pointe de satin noir et par son étiquette ""Christian Dior Atelier"" brodée au bas de manche. Cette pièce, idéale pour accompagner une tenue du soir, assure ainsi un look élégant.",https://www.dior.com/fr_fr/products/couture-963C307S4394_C979-manteau-en-cachemire-col-en-satin,/homme/pret-a-porter/nouveautes,,"Manteau en cachemire, Col en satin","2950,00eur",fr_fr
,Ce blouson en toile de nylon bordeaux est proposé dans un tissu technique avec effet changeant qui crée différents jeux de reflets et de couleurs. Cette pièce réversible peut également se porter sur la face en toile de nylon noir et assure ainsi une grande polyvalence.,https://www.dior.com/fr_fr/products/couture-963C410Z4418_C379-blouson-en-nylon-reversible,/homme/pret-a-porter/nouveautes,,"Blouson en nylon, Réversible","1800,00eur",fr_fr
,"Cette doudoune en toile technique bordeaux est proposée dans un tissu technique avec effet changeant qui crée différents jeux de reflets et de couleurs pour une allure mode. ""L'Abeille"" en métal à la poitrine signe cette pièce de l'empreinte Dior.",https://www.dior.com/fr_fr/products/couture-963C447Z4416_C379-doudoune-en-nylon-effet-changeant,/homme/pret-a-porter/nouveautes,,"Doudoune en nylon, Effet Changeant","1900,00eur",fr_fr
,"Thème fort de la collection Printemps 2019, le motif ""Dior by Dior"" blanc est réinterprété en intarsia sur ce pull col rond en maille de laine noire.",https://www.dior.com/fr_fr/products/couture-963M633WT666_C980-pull-en-laine-intarsia-dior-by-dior,/homme/pret-a-porter/nouveautes,,"Pull en laine,  Intarsia ""Dior by Dior""","550,00eur",fr_fr
,Ce pull col roulé en maille double de laine bordeaux se distingue par son détail de zip dévoilant une toile technique de nylon noir une fois ouvert. Ce détail subtil assure une allure moderne.,https://www.dior.com/fr_fr/products/couture-863M623ZT904_C342-pull-en-laine-detail-de-zip,/homme/pret-a-porter/nouveautes,,"Pull en laine, Détail de zip","850,00eur",fr_fr
,"Ce blouson en denim stretch de coton noir se distingue par son élégant col en shearling noir pour un look moderne et intemporel. Le jacqueron de cuir noir embossé ""Dior"" au dos signe cette pièce de l'empreinte Dior.",https://www.dior.com/fr_fr/products/couture-863C414Z4209_C900-blouson-denim-en-coton-stretch-col-shearling,/homme/pret-a-porter/nouveautes,,"Blouson denim en coton stretch, Col shearling","980,00eur",fr_fr
,"Cette doudoune en toile de nylon noir se distingue par son ""Abeille"" en métal, signature Dior placée à la poitrine. Les détails de bord-côte noir à la ceinture et aux poignets assurent un look moderne et décontracté à cette pièce.",https://www.dior.com/fr_fr/products/couture-963C447A3830_C901-doudoune-en-nylon-abeille-metal,/homme/pret-a-porter/nouveautes,,"Doudoune en nylon, ""Abeille"" métal","1850,00eur",fr_fr
,Ce blouson à capuche est proposé dans une version bi-matière ; un tissu technique bleu et violet avec effet changeant juxtaposant une toile de nylon noir. Cet effet de contraste lui assure un look mode.,https://www.dior.com/fr_fr/products/couture-963C443Z4416_C579-blouson-a-capuche-en-nylon-effet-changeant,/homme/pret-a-porter/nouveautes,,"Blouson à capuche en nylon,  Effet Changeant","1600,00eur",fr_fr
,"Ce blouson d'aviateur en cuir de veau grainé noir se distingue par son col raffiné en castor noir, et assure ainsi un look moderne et intemporel.",https://www.dior.com/fr_fr/products/couture-963L455Z0353_C979-aviateur-en-cuir-de-veau-col-en-castor,/homme/pret-a-porter/nouveautes,,"Aviateur en cuir de veau, Col en castor","4200,00eur",fr_fr
,"Cette doudoune sans manches en toile technique bleue et violette est proposée dans un tissu technique avec effet changeant qui crée différents jeux de reflets et de couleurs pour une allure mode. ""L'Abeille"" en métal à la poche gauche signe cette pièce de l'empreinte Dior.",https://www.dior.com/fr_fr/products/couture-963C441Z4416_C579-doudoune-en-nylon-effet-changeant,/homme/pret-a-porter/nouveautes,,"Doudoune en nylon, Effet Changeant","1300,00eur",fr_fr
,"L'un des imprimés forts de la collection Printemps 2019 orne en all-over ce T-shirt en jersey de coton blanc. La broderie ""Abeille"" blanche signe cette pièce de l'empreinte Dior.",https://www.dior.com/fr_fr/products/couture-863J613B0526_C070-t-shirt-en-coton-imprime-all-over-dior,/homme/pret-a-porter/nouveautes,,"T-Shirt en coton, Imprimé all-over Dior","400,00eur",fr_fr
,Blouson à capuche zippé en toile de nylon bleu marine avec imprimé et broderies DIOR x KAWS,https://www.dior.com/fr_fr/products/couture-923C450Z0152_C584-blouson-en-nylon-dior-x-kaws,/homme/pret-a-porter/nouveautes,,"Blouson en nylon, DIOR x KAWS","1800,00eur",fr_fr
,"Ce blouson bomber en serge de nylon noir se distingue par son ruban ""Christian Dior Atelier"" appliqué aux épaules et aux manches. Cette pièce assure ainsi un look moderne et décontracté.",https://www.dior.com/fr_fr/products/couture-863C439A3962_C900-bomber-en-nylon-ruban-christian-dior-atelier,/homme/pret-a-porter/nouveautes,,"Bomber en nylon, Ruban ""Christian Dior Atelier""","1600,00eur",fr_fr
,"Incontournable du vestiaire masculin, ce blouson bomber est revisité dans une version mode en serge de laine verte avec des détails de bord-côte noir pour une allure moderne et décontractée. ""L'Abeille"" en métal placée à la poche gauche signe cette pièce de l'empreinte Dior.",https://www.dior.com/fr_fr/products/couture-733C408A4393_C689-bomber-en-laine-abeille-metal,/homme/pret-a-porter/nouveautes,,"Bomber en laine, ""Abeille"" métal","1900,00eur",fr_fr
,"Thème fort de la collection Printemps 2019, la broderie ""Dior by Dior"" blanche est placée à la poitrine de ce T-shirt en jersey de coton noir pour une allure mode. La broderie ""Abeille"" ton sur ton signe cette pièce de l'empreinte Dior Homme.",https://www.dior.com/fr_fr/products/couture-863J621K0910_C980-t-shirt-en-coton-broderie-dior-by-dior,/homme/pret-a-porter/nouveautes,,"T-Shirt en coton, Broderie ""Dior by Dior""","450,00eur",fr_fr
,"Thème fort de la collection Printemps 2019, la broderie ""Dior by Dior"" noire est placée à la poitrine de ce T-shirt en jersey de coton blanc pour une allure mode. La broderie ""Abeille"" ton sur ton signe cette pièce de l'empreinte Dior Homme.",https://www.dior.com/fr_fr/products/couture-863J621K0910_C089-t-shirt-en-coton-broderie-dior-by-dior,/homme/pret-a-porter/nouveautes,,"T-Shirt en coton, Broderie ""Dior by Dior""","450,00eur",fr_fr
,"Ce T-shirt en jersey de coton noir se distingue par sa broderie ""Dior"" argentée, placée sur la poitrine et imitant la signature de Christian Dior. Cette pièce assure ainsi un style mode et décontracté.",https://www.dior.com/fr_fr/products/couture-733J603W3610_C979-t-shirt-en-coton-broderie-signature-dior,/homme/pret-a-porter/nouveautes,,"T-Shirt en coton, Broderie signature ""Dior""","450,00eur",fr_fr
,"Ce T-shirt en jersey de coton blanc se distingue par sa broderie ""Dior"" argentée, placée sur la poitrine et imitant la signature de Christian Dior. Cette pièce assure ainsi un style mode et décontracté.",https://www.dior.com/fr_fr/products/couture-733J603W3610_C079-t-shirt-en-coton-broderie-signature-dior,/homme/pret-a-porter/nouveautes,,"T-Shirt en coton, Broderie signature ""Dior""","450,00eur",fr_fr
,"T-shirt en jersey de coton noir avec patch visiteur ""Christian Dior""",https://www.dior.com/fr_fr/products/couture-923J611B0533_C984-t-shirt-en-coton-patch-visiteur-christian-dior,/homme/pret-a-porter/nouveautes,,"T-shirt en coton, patch visiteur ""Christian Dior""","390,00eur",fr_fr
,"T-shirt en jersey de coton blanc avec patch visiteur ""Christian Dior""",https://www.dior.com/fr_fr/products/couture-923J611B0533_C081-t-shirt-en-coton-patch-visiteur-christian-dior,/homme/pret-a-porter/nouveautes,,"T-shirt en coton, patch visiteur ""Christian Dior""","390,00eur",fr_fr
,T-shirt en jersey de coton bleu marine avec imprimé et broderies DIOR x KAWS,https://www.dior.com/fr_fr/products/couture-923J611X1241_C584-t-shirt-en-coton-dior-x-kaws,/homme/pret-a-porter/nouveautes,,"T-shirt en coton, DIOR x KAWS","450,00eur",fr_fr
,"Thèmes forts de la collection Printemps 2019, les broderies ""Dior by Dior"" et ""Forever Young"" blanches sont placées à la poitrine de ce sweatshirt en molleton de coton noir. Célébrant l'insouciance de la jeunesse, cette pièce assure un look mode et décontracté.",https://www.dior.com/fr_fr/products/couture-333J666W5864_C980-sweatshirt-en-coton-broderies-dior-by-dior-et-forever-young,/homme/pret-a-porter/nouveautes,,"Sweatshirt en coton, Broderies ""Dior by Dior"" et ""Forever Young""","590,00eur",fr_fr
,"L'un des imprimés forts de la collection Printemps 2019 orne en all-over ce sweatshirt en molleton de coton noir. La broderie ""Abeille"" noire signe cette pièce de l'empreinte Dior.",https://www.dior.com/fr_fr/products/couture-333J666B0527_C959-sweatshirt-en-coton-imprime-all-over-dior,/homme/pret-a-porter/nouveautes,,"Sweatshirt en coton, Imprimé all-over Dior","550,00eur",fr_fr
,"En hommage à Christian Dior et à sa fascination pour les fleurs, ce sweatshirt en molleton de coton noir se distingue par son ""Iris"" brodé à la main à la poitrine. Cette pièce d'exception assure un look moderne et sophistiqué.",https://www.dior.com/fr_fr/products/couture-963J631W5764_C900-sweatshirt-en-coton-broderie-iris,/homme/pret-a-porter/nouveautes,,"Sweatshirt en coton, Broderie ""Iris""","1950,00eur",fr_fr
,T-shirt en jersey de coton rose avec imprimé et broderies DIOR x KAWS,https://www.dior.com/fr_fr/products/couture-923J611X1241_C485-t-shirt-en-coton-dior-x-kaws,/homme/pret-a-porter/nouveautes,,"T-shirt en coton, DIOR x KAWS","450,00eur",fr_fr
,Black wool and silk jacket with simple button fastening.,https://www.dior.com/en_us/products/couture-911V08A1166_X9000-wool-and-silk-jacket,/women/ready-to-wear/jackets,,Wool and silk jacket,"$4,100.00",en_us
,Pochette Wallet on Chain Lady Dior en veau écru sérigraphié du motif Toile de Jouy bleu.,https://www.dior.com/fr_fr/products/couture-S0105OSNI_M37E_TU-pochette-lady-dior-toile-de-jouy,/femme/sacs/nouveautes,,Pochette Lady Dior Toile de Jouy,"1150,00eur",fr_fr
,"Ce sweatshirt en molleton de coton noir se distingue par sa broderie ""Dior"" argentée, placée sur la poitrine et imitant la signature de Christian Dior. Cette pièce assure ainsi un style mode et décontracté.",https://www.dior.com/fr_fr/products/couture-333J666W3664_C979-sweatshirt-en-coton-broderie-signature-dior,/homme/pret-a-porter/nouveautes,,"Sweatshirt en coton, Broderie signature ""Dior""","590,00eur",fr_fr
,Pochette rectangulaire Lady Dior en agneau Cannage couleur vert cyprès.,https://www.dior.com/fr_fr/products/couture-S0204ONMJ_M50H_TU-pochette-lady-dior-en-agneau,/femme/sacs/nouveautes,,Pochette Lady Dior en agneau,"1050,00eur",fr_fr
,Sweatshirt en molleton de coton bleu marine avec broderies DIOR x KAWS,https://www.dior.com/fr_fr/products/couture-923J620W1242_C584-sweatshirt-en-coton-dior-x-kaws,/homme/pret-a-porter/nouveautes,,"Sweatshirt en coton, DIOR x KAWS","700,00eur",fr_fr
,Pochette ceinture Saddle en toile jacquard Dior Oblique verte et détails en cuir de vachette vert.,https://www.dior.com/fr_fr/products/couture-S5619CTZQ_M924_TU-pochette-saddle-dior-oblique,/femme/sacs/nouveautes,,Pochette Saddle Dior Oblique,"710,00eur",fr_fr
,Pochette Wallet on Chain Lady Dior en veau écru sérigraphié du motif Toile de Jouy bordeaux.,https://www.dior.com/fr_fr/products/couture-S0105OSNI_M941_TU-pochette-lady-dior-toile-de-jouy,/femme/sacs/nouveautes,,Pochette Lady Dior Toile de Jouy,"1150,00eur",fr_fr
